id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized
172_417.0,27000.0,172_372_1,5.1,20.94,0.0,27008.0,372_417_1,43.86,20.94,8.0,148.17,0.0,0.0,0.0,0.0,0.0,tripinfo_172_417.0,ego_passenger,1.04,
141_5269.0,27000.0,141_341_0,5.1,16.44,0.0,27010.0,341_5269_0,44.43,16.44,10.0,148.26,0.0,0.0,0.0,0.0,0.0,tripinfo_141_5269.0,ego_passenger,1.23,
